City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,ciudad del carmen,18.6333,-91.8333,26.02,65,20,4.12,MX,1712886439
113,jieshi,22.8134,115.8257,23.44,78,12,1.56,CN,1712886440
114,kapa'a,22.0752,-159.319,23.99,87,100,0.0,US,1712886193
115,new norfolk,-42.7826,147.0587,18.72,82,100,1.34,AU,1712886441
116,kenai,60.5544,-151.2583,4.05,93,100,1.54,US,1712886442
117,jining,35.405,116.5814,22.03,57,0,4.89,CN,1712886443
118,dudinka,69.4058,86.1778,-25.42,97,48,4.65,RU,1712886444
119,st. john's,47.5649,-52.7093,2.21,81,0,7.2,CA,1712886350
120,sisimiut,66.9395,-53.6735,-5.93,89,95,2.65,GL,1712886445
121,uturoa,-16.7333,-151.4333,28.84,77,27,7.49,PF,1712886344
122,hobart,-42.8794,147.3294,17.25,68,40,5.66,AU,1712886214
123,callao,-12.0667,-77.15,25.4,78,0,4.63,PE,1712886448
124,port augusta,-32.5,137.7667,19.84,47,80,3.01,AU,1712886449
125,pingzhuang,42.0372,119.2889,25.74,21,5,7.29,CN,1712886449
126,hithadhoo,-0.6,73.0833,28.3,76,78,2.93,MV,1712886450
127,marsabit,2.3284,37.9899,20.5,79,45,3.14,KE,1712886451
128,vegreville,53.5001,-112.0518,12.3,25,100,6.17,CA,1712886403
129,rio grande,-32.035,-52.0986,20.07,62,100,6.73,BR,1712886452
130,nong chik,6.8436,101.178,30.65,62,60,5.04,TH,1712886453
131,aksaray,38.3726,34.0254,9.72,85,14,3.25,TR,1712886324
132,malpica,43.3228,-8.8105,16.1,78,5,1.57,ES,1712886455
133,birjand,32.8663,59.2211,14.26,77,75,3.09,IR,1712886455
134,sault ste. marie,46.5168,-84.3333,12.16,72,100,5.66,CA,1712886401
135,udachny,66.4167,112.4,-19.2,89,76,4.72,RU,1712886457
136,inarajan village,13.2736,144.7484,30.55,84,100,6.34,GU,1712886459
